,Headline,Date,Description
446,"Pfizer boosters show 95.6% efficacy against Covid, study finds",2021-10-21 13:43:15,"<span><mark class=""search-item__highlight"">Pfizer</mark> boosters show 95.6% efficacy against Covid, study finds</span>"
444,Polarisation clouds the role for Regeneron’s Covid treatment,2021-10-22 10:27:17,"<span class=""o-teaser__tag-prefix"">The Top Line</span>"
443,FirstFT: Neumann’s WeWork stake valued at $1bn,2021-10-22 10:30:43,"<span>...low against the dollar. Coronavirus digest

A booster shot of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine is 95.6 per cent effective against Covid-19, the companies...</span>"
442,Pfizer says Covid vaccine 90% effective in kids aged 5-11,2021-10-22 13:46:09,"<span><mark class=""search-item__highlight"">Pfizer</mark> says Covid vaccine 90% effective in kids aged 5-11</span>"
440,Supply chain pressures cast shadow over manufacturing recovery,2021-10-22 17:15:58,"<span>...at home” order was on the cards this winter (BBC)

The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine is 90 per cent effective at preventing symptomatic infection from Covid...</span>"
439,"Covid vaccines associated with rare neurological complications, says study",2021-10-25 15:01:01,"<span>...The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca coronavirus vaccines are associated with four rare neurological complications, according to the most comprehensive study of the side effects...</span>"
438,Supply chain warnings intensify,2021-10-25 17:15:02,"<span>...is actually going to be on the shelves.”Latest news

The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca coronavirus vaccines are associated with up to seven very...</span>"
437,Mask-wearing at the heart of the great British Covid divide,2021-10-25 17:57:30,"<span>...Oxford-AstraZeneca jab, which may be slightly less effective than the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> product more widely used on the continent.

A mask is a “second...</span>"
436,"UK must ‘get own house in order’ before donating vaccines abroad, says government adviser ",2021-10-26 08:15:07,"<span>...to seeing a new community waning, particularly with the AstraZeneca and the <mark class=""search-item__highlight"">Pfizer</mark> vaccines that were given right at the start of the pandemic,” he...</span>"
435,FirstFT: Facebook puts young users at centre of growth strategy,2021-10-26 10:07:02,"<span>...world was still “woefully unprepared” for any new health emergency.

The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca coronavirus vaccines are associated with seven rare neurological complications...</span>"
434,What to watch in the US today,2021-10-26 10:09:30,"<span>...to meet today to determine whether they will endorse administering the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> Covid-19 vaccine to children between the ages of 5 and 11...</span>"
433,BioNTech to open Africa’s first mRNA manufacturing plant,2021-10-26 13:54:56,"<span>...is expected to make roughly a quarter of the 2.5bn doses <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech pledged this year.

The BioNTech agreement comes after US-based...</span>"
432,FDA panel backs Pfizer Covid vaccine for 5- to 11-year-olds,2021-10-26 20:42:53,"<span>FDA panel backs <mark class=""search-item__highlight"">Pfizer</mark> Covid vaccine for 5- to 11-year-olds</span>"
431,Vietnam takes Sinopharm vaccines to ease Ho Chi Minh City’s woes,2021-10-26 22:00:31,"<span>...was second after British-Swedish company AstraZeneca, at 48 per cent, while <mark class=""search-item__highlight"">Pfizer</mark> and Moderna of the US stood at 11 per cent and 8...</span>"
430,FirstFT: Democrats plan new tax on biggest US corporations,2021-10-27 09:46:13,"<span>...advisers have recommended allowing children aged five to 11 to receive BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>’s Covid-19 vaccine.

Do you support vaccines for 5 to 11...</span>"
429,Merck signs royalty-free deal to expand access to its Covid-19 pill,2021-10-27 10:08:15,"<span>...move by Merck stands in stark contrast to the messenger RNA manufacturers <mark class=""search-item__highlight"">Pfizer</mark> and Moderna, which have so far balked at sharing their vaccine technology...</span>"
428,Novavax submits Covid jab for UK approval,2021-10-27 15:07:55,"<span>...way.

The UK, where messenger RNA shots such as that from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> have been deployed in a booster campaign, has a deal for up...</span>"
427,Correction: Vaccines,2021-10-27 22:25:39,"<span>...Researchers found the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca coronavirus vaccines are associated with four rare neurological complications, not seven as wrongly reported in an article...</span>"
426,Eurozone growth accelerates,2021-10-29 17:15:57,"<span>...households from the Delta variant of coronavirus by a third.

The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca vaccines are associated with four rare neurological complications, according...</span>"
425,FDA authorises Pfizer’s Covid vaccine for kids aged 5 to 11,2021-10-29 19:37:24,"<span>FDA authorises <mark class=""search-item__highlight"">Pfizer</mark>’s Covid vaccine for kids aged 5 to 11</span>"
424,FDA approves BioNTech/Pfizer jab for 5 to 11-year-olds,2021-10-29 20:37:27,"<span>FDA approves BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab for 5 to 11-year-olds</span>"
1150,Novavax’s Covid vaccine wins first approval after Indonesia authorises jab,2021-11-01 13:49:38,"<span>...global supply of messenger RNA (mRNA) vaccines made by Moderna and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>.

But it could prove hugely important for lower-income countries and Covax...</span>"
1149,What to watch in the Americas today,2021-11-02 10:02:58,"<span>...<mark class=""search-item__highlight"">Pfizer</mark>: It’s a big day for <mark class=""search-item__highlight"">Pfizer</mark> as the US pharmaceuticals group reports earnings before the market open. The company is expected to report...</span>"
1148,FirstFT: Domestic politics risk undermining Biden’s climate pledges,2021-11-02 11:31:53,"<span>...this morning, before the opening of trade in New York. Vaccine maker <mark class=""search-item__highlight"">Pfizer</mark> and oil major ConocoPhilips also release earnings today. After the market closes...</span>"
1147,Pfizer lifts 2021 Covid vaccine sales outlook to $36bn,2021-11-02 11:33:52,"<span><mark class=""search-item__highlight"">Pfizer</mark> lifts 2021 Covid vaccine sales outlook to $36bn</span>"
1146,Pfizer raises 2021 sales forecast for Covid vaccine to $36bn,2021-11-02 13:12:04,"<span><mark class=""search-item__highlight"">Pfizer</mark> raises 2021 sales forecast for Covid vaccine to $36bn</span>"
1145,CDC advisers back Covid vaccine for children ages 5 to 11,2021-11-02 21:39:47,"<span>...A panel of top US scientific experts has backed the use of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> Covid-19 vaccine for children aged five to 11 years...</span>"
960,CDC advisers back Covid vaccine for children aged 5 to 11,2021-11-02 23:05:31,"<span>...A panel of top US scientific experts has backed the use of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> Covid-19 vaccine for children aged five to 11, paving...</span>"
959,Biden promises vaccines for children will come within days,2021-11-03 02:05:54,"<span>...Disease Control and Prevention gave the final go-ahead for BioNTech and <mark class=""search-item__highlight"">Pfizer</mark> to supply their vaccine to people under 12.

The US president said...</span>"
958,Further reading,2021-11-03 09:05:10,"<span>...Maxwell.

-- Covid-19: Researcher blows the whistle on data integrity issues in <mark class=""search-item__highlight"">Pfizer</mark>’s vaccine trial. Source: BMJ

-- The rise of Trinidad’s cocaine Caliphate....</span>"
957,FirstFT: A crushing night for Democrats in Virginia,2021-11-03 11:13:25,"<span>...in the capital Addis Ababa prepared for a possible military assault.

5. <mark class=""search-item__highlight"">Pfizer</mark> raises 2021 Covid vaccine sales forecast The drugmaker more than doubled its...</span>"
956,Air travel picks up but staff shortages could hinder recovery,2021-11-03 18:15:40,"<span>...to be raised for the first time since 2019.

US pharma giant <mark class=""search-item__highlight"">Pfizer</mark> more than doubled its forecast for Covid-19 vaccine sales to $36bn...</span>"
955,US battles to sell parents on benefits of ‘kid-sized’ jabs for children,2021-11-04 05:00:41,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
954,What to watch in the US,2021-11-04 10:15:42,"<span>...a close eye on its Covid-19 vaccine sales and production estimates. <mark class=""search-item__highlight"">Pfizer</mark> this week said it expects to generate $29bn in Covid-19 vaccine...</span>"
953,Moderna blames ‘teething problems’ for weak Covid-19 jab sales forecast,2021-11-04 13:38:14,"<span>...guidance, which places it further behind its main Covid-19 vaccine rivals, <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech.

Consensus estimates from analysts had forecast full-year sales of...</span>"
951,European value ETFs suffer record redemptions as optimism fades,2021-11-05 05:12:56,"<span class=""o-teaser__tag-prefix"">ETF Hub</span>"
950,Trial shows Pfizer Covid pill slashes hospitalisation risk,2021-11-05 10:46:01,"<span>Trial shows <mark class=""search-item__highlight"">Pfizer</mark> Covid pill slashes hospitalisation risk</span>"
949,FirstFT: US companies given two months to implement Covid vaccine mandate,2021-11-05 11:31:55,"<span>...more of the fossil fuel to drive down prices.

2. Trial shows <mark class=""search-item__highlight"">Pfizer</mark>’s Covid antiviral pill slashes hospitalisation risk <mark class=""search-item__highlight"">Pfizer</mark>’s potential Covid-19...</span>"
948,Pfizer Covid pill’s upbeat trial results boost travel stocks,2021-11-05 14:38:04,"<span><mark class=""search-item__highlight"">Pfizer</mark> Covid pill’s upbeat trial results boost travel stocks</span>"
947,"Pfizer’s Covid antiviral pill slashes hospitalisation risk, trial shows",2021-11-05 14:48:24,"<span><mark class=""search-item__highlight"">Pfizer</mark>’s Covid antiviral pill slashes hospitalisation risk, trial shows</span>"
946,US equities and government bonds rally after jobs data top forecasts,2021-11-05 17:19:42,"<span>...Long-dated US government debt rallied on Friday and travel stocks jumped following better than expected jobs data and encouraging results from <mark class=""search-item__highlight"">Pfizer</mark> for its...</span>"
945,Zoetis/Elanco: pandemic pet boom brings out the animal spirits,2021-11-05 17:50:36,"<span class=""o-teaser__tag-prefix"">Lex</span>"
944,US labour market picks up momentum after summer lull,2021-11-05 18:15:30,"<span>...has navigated the crisis.Science round up

Treatments: New trial data showed <mark class=""search-item__highlight"">Pfizer</mark>’s antiviral pill, known as paxlovid, cut the risk of hospitalisation or...</span>"
943,S&P 500 closes best week since June,2021-11-05 20:18:02,"<span>...Long-dated US government debt rallied on Friday and travel stocks jumped following better than expected jobs data and encouraging results from <mark class=""search-item__highlight"">Pfizer</mark> for its...</span>"
942,US equities and government bonds rally after jobs data top forecasts,2021-11-05 20:27:29,"<span>...Long-dated US government debt rallied on Friday and travel stocks jumped following better than expected jobs data and encouraging results from <mark class=""search-item__highlight"">Pfizer</mark> for its...</span>"
941,UK dithering over Covid jabs for young must not happen again,2021-11-07 13:58:15,"<span>...on adolescent immunisations have meandered from one cagey pronouncement to the next. <mark class=""search-item__highlight"">Pfizer</mark> jabs were judged safe and effective for 12 to 15-year-olds...</span>"
940,Signs of resurgent US economy send stocks to new peaks,2021-11-07 17:39:27,"<span>...during the pandemic such as airlines, cruise operators and casinos advanced after <mark class=""search-item__highlight"">Pfizer</mark>’s announcement on Friday that its antiviral pill successfully reduced hospitalisation rates...</span>"
939,Rewriting history in China,2021-11-07 18:30:22,"<span>...announcement to watch is Anglo-Swedish drugmaker AstraZeneca on Friday, particularly after <mark class=""search-item__highlight"">Pfizer</mark> last week raised its revenue forecast for its Covid-19 vaccine to...</span>"
938,Signs of resurgent US economy send stocks to new peaks,2021-11-07 23:13:49,"<span>...during the pandemic such as airlines, cruise operators and casinos advanced after <mark class=""search-item__highlight"">Pfizer</mark>’s announcement on Friday that its antiviral pill successfully reduced hospital admission...</span>"
937,Germany’s va-Q-Tec stays cool as Covid vaccine demand heats up,2021-11-08 03:00:23,"<span class=""o-teaser__tag-prefix"">FT Series</span>"
936,European stocks and US futures edge down from all-time highs,2021-11-08 08:41:37,"<span>...week at record highs after monthly job market data topped analysts’ forecasts, <mark class=""search-item__highlight"">Pfizer</mark> reported positive late stage trials for its antiviral Covid-19 pill and...</span>"
684,FirstFT: Biden begins fightback,2021-11-08 11:14:56,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
682,S&P 500 completes longest streak of record highs since 1997,2021-11-08 21:46:10,"<span>...on the US jobs market, positive results from late-stage trials of <mark class=""search-item__highlight"">Pfizer</mark>’s Covid-19 antiviral pill, the successful passing of Joe Biden’s...</span>"
681,S&P 500 completes longest streak of record highs since 1997,2021-11-08 22:42:53,"<span>...on the US jobs market, positive results from late-stage trials of <mark class=""search-item__highlight"">Pfizer</mark>’s Covid-19 antiviral pill, the successful passing of Joe Biden’s...</span>"
680,Wall Street equities complete longest run of closing highs since 1997,2021-11-09 01:52:05,"<span>...on the US jobs market, positive results from late-stage trials of <mark class=""search-item__highlight"">Pfizer</mark>’s antiviral Covid-19 pill, the successful passing of Joe Biden’s...</span>"
679,Covid vaccine demand pushes up BioNTech sales estimate,2021-11-09 11:54:11,"<span>...its coronavirus vaccine.

The German biotech, which partnered with US pharmaceutical group <mark class=""search-item__highlight"">Pfizer</mark> to bring the first Covid-19 vaccine to market, revised up its...</span>"
678,What to watch in the US today,2021-11-09 12:15:10,"<span>...on year, as the hospitality sector continues to recover from the pandemic.

<mark class=""search-item__highlight"">Pfizer</mark> chief speaks: Albert Bourla, <mark class=""search-item__highlight"">Pfizer</mark>’s chair and chief executive, will be...</span>"
677,US buys more Covid pills from Merck for $1bn,2021-11-09 12:58:58,"<span>...month.

However, Merck faces competition from a rival antiviral treatment developed by <mark class=""search-item__highlight"">Pfizer</mark>, which a late-stage clinical trial has shown cuts the risk of...</span>"
676,AstraZeneca commits to vaccines business with new division ,2021-11-09 14:28:35,"<span>...used the vaccine in the initial rollout, has chosen to mainly use <mark class=""search-item__highlight"">Pfizer</mark> jabs as boosters. The European Medicines Agency is still reviewing use of...</span>"
674,Element Capital hit with $1bn loss in bond market shake-up,2021-11-09 16:25:12,"<span>...prescient bets of the pandemic last autumn, telling clients that the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine would be 75 to 90 per cent effective, far more than...</span>"
673,BioNTech lifts revenue forecast as Covid vaccine orders climb,2021-11-09 16:37:55,"<span>...launched the first Covid-19 vaccine in partnership with US pharmaceutical company <mark class=""search-item__highlight"">Pfizer</mark>, said on Tuesday that revenues would be €1bn higher than previously forecast...</span>"
672,BioNTech lifts revenue forecast as Covid vaccine orders climb,2021-11-09 17:25:25,"<span>...launched the first Covid-19 vaccine in partnership with US pharmaceutical company <mark class=""search-item__highlight"">Pfizer</mark>, said on Tuesday that revenues would be €1bn higher than previously forecast...</span>"
671,Pfizer asks US drugs regulator to widen Covid booster eligibility to all adults,2021-11-09 19:59:34,"<span><mark class=""search-item__highlight"">Pfizer</mark> asks US drugs regulator to widen Covid booster eligibility to all adults</span>"
670,Pfizer asks US regulator to authorise Covid-19 boosters for all adults,2021-11-09 20:32:49,"<span><mark class=""search-item__highlight"">Pfizer</mark> asks US regulator to authorise Covid-19 boosters for all adults</span>"
669,Big boost for Valneva as Brussels signs Covid vaccine deal ,2021-11-10 13:12:07,"<span>...to a total of 2.1bn doses of the Moderna and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> shots for the coming years. Since then, however, Europe has suffered a...</span>"
668,"Inflationary pressures ripple through US, China and Europe",2021-11-10 18:15:49,"<span>...company, which launched the first Covid-19 vaccine with US pharma giant <mark class=""search-item__highlight"">Pfizer</mark>, lifted its revenue forecasts for the jab to €17bn this year, €1bn...</span>"
667,Elizabeth Warren seizes on bumper vaccine sales to urge more access ,2021-11-11 10:00:49,"<span>...Elizabeth Warren, the progressive Democratic senator from Massachusetts, has called on <mark class=""search-item__highlight"">Pfizer</mark> and Moderna to boost global access to their Covid-19 vaccines following their...</span>"
666,AstraZeneca to take profits from Covid vaccine sales,2021-11-12 10:36:32,"<span>...profit contracts.

Soriot said profitability would be “far lower” than for rival <mark class=""search-item__highlight"">Pfizer</mark>, which has said its margin is in the high 20 percentage points...</span>"
665,Johnson & Johnson to spin off consumer business,2021-11-12 11:51:10,"<span>...large pharmaceutical companies that have shed their consumer divisions, including GSK and <mark class=""search-item__highlight"">Pfizer</mark>, which formed a joint venture from their consumer health units that they...</span>"
664,Johnson & Johnson to spin off consumer business,2021-11-12 12:47:20,"<span>...large pharmaceutical companies that have shed their consumer divisions, including GSK and <mark class=""search-item__highlight"">Pfizer</mark>, which formed a joint venture from their consumer health units that they...</span>"
663,Europe back at epicentre of the pandemic,2021-11-12 18:15:33,"<span>...and the US government over who invented the company’s Covid jab.

<mark class=""search-item__highlight"">Pfizer</mark> asked US regulators to widen their approval of booster jabs to all...</span>"
662,Johnson & Johnson: the break-up band-aid comes off,2021-11-12 18:56:19,"<span class=""o-teaser__tag-prefix"">Lex</span>"
661,The Covid drugs are finally here,2021-11-12 19:15:31,"<span>...In early March 2020, <mark class=""search-item__highlight"">Pfizer</mark>’s chief scientific officer was summoned to the White House to discuss the disease that was sweeping across the world...</span>"
660,Vaccine distributors go the extra mile to help remote populations,2021-11-15 05:00:57,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
336,UK advised to extend eligibility for Covid booster shots,2021-11-15 09:32:49,"<span>...originally received the Oxford/AstraZeneca jab and 94 per cent for BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> recipients a fortnight after the booster shot was administered.

Professor Wei Shen...</span>"
335,UK expands Covid booster jab programme to 40 to 49-year-olds,2021-11-15 18:27:45,"<span>...originally received the Oxford/AstraZeneca jab and 94 per cent for BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> recipients a fortnight after the booster shot was administered.

Some 12.8m...</span>"
334,Top scientist defends decision to sell AstraZeneca vaccine at a profit ,2021-11-16 00:01:57,"<span>...by China’s Sinovac have been delivered to date. For the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab, the figure is 1.96bn.

AstraZeneca announced last week that it...</span>"
333,Top scientist defends decision to sell AstraZeneca vaccine at a profit,2021-11-16 02:06:12,"<span>...by China’s Sinovac have been delivered to date. For the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> partnership, the figure is 1.96bn.

Read more about AstraZeneca jabs here....</span>"
331,Pfizer agrees deal to expand low-cost access to Covid pill,2021-11-16 11:50:36,"<span><mark class=""search-item__highlight"">Pfizer</mark> agrees deal to expand low-cost access to Covid pill</span>"
330,Pfizer seeks federal authorisation for its Covid-19 antiviral pill,2021-11-16 19:43:50,"<span><mark class=""search-item__highlight"">Pfizer</mark> seeks federal authorisation for its Covid-19 antiviral pill</span>"
329,Pfizer seeks FDA authorisation for Covid-19 pill,2021-11-16 20:25:49,"<span><mark class=""search-item__highlight"">Pfizer</mark> seeks FDA authorisation for Covid-19 pill</span>"
328,Pfizer seeks US authorisation for its Covid-19 antiviral pill,2021-11-16 22:28:30,"<span><mark class=""search-item__highlight"">Pfizer</mark> seeks US authorisation for its Covid-19 antiviral pill</span>"
326,FirstFT: Clock ticks down on Biden’s decision for Fed chair,2021-11-17 11:17:20,"<span>...Kong for several months because of the city’s strict quarantine policy.

<mark class=""search-item__highlight"">Pfizer</mark> has agreed a licensing deal to expand low-cost access to its...</span>"
325,UK inflation jump adds to pressure for rate rise,2021-11-17 18:15:05,"<span>...19 pandemic, rather than a global shift towards high inflation.Latest news

<mark class=""search-item__highlight"">Pfizer</mark> is seeking regulatory authorisation in the US for its Covid-19 antiviral...</span>"
324,How widespread is Covid in animals and what are the risks to humans?,2021-11-18 13:23:53,"<span class=""o-teaser__tag-prefix"">Explainer</span>"
323,"Limited access to antibiotics is driving resistance, warns watchdog",2021-11-18 18:18:48,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
322,Johnson & Johnson touts ‘golden moment’ to pursue pharma-led future,2021-11-19 12:52:00,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
321,FDA clears Moderna and Pfizer Covid-19 boosters for all adults,2021-11-19 13:49:23,"<span>FDA clears Moderna and <mark class=""search-item__highlight"">Pfizer</mark> Covid-19 boosters for all adults</span>"
320,2G or not 2G? That is the question,2021-11-19 18:15:41,"<span>...has made some fear the next pandemic could be lab-made.

Vaccines: <mark class=""search-item__highlight"">Pfizer</mark> is seeking regulatory authorisation in the US for its Covid-19 antiviral...</span>"
319,AstraZeneca’s vaccine hopes lie overseas as it runs out of road in UK,2021-11-19 21:00:42,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
318,CDC backs Covid-19 booster shots for all adults in US,2021-11-19 23:46:44,"<span>...authorisation for the general population.

US regulators had previously recommended Moderna and <mark class=""search-item__highlight"">Pfizer</mark>’s messenger RNA (mRNA) booster shots for people with underlying health conditions...</span>"
317,Five new management rules for a post-pandemic age,2021-11-21 05:00:42,"<span>...of BioNTech, the biotech company that developed the first Covid vaccine with <mark class=""search-item__highlight"">Pfizer</mark>, tell a very different story about their success.

“We had the privilege...</span>"
316,Republicans have fundraising edge in battle for control of US Congress,2021-11-21 19:32:40,"<span>...Boeing, Comcast, CVS Health, Delta, Eli Lilly, FedEx, Ford, Genentech, Lockheed Martin, <mark class=""search-item__highlight"">Pfizer</mark>, PG&amp;E, PwC, Raytheon, T-Mobile, United Airlines, UnitedHealth Group, Walmart, and...</span>"
315,EU scrambles to save digital Covid certificate ,2021-11-23 06:25:43,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
314,AstraZeneca calls on UK to increase science investment ,2021-11-23 17:05:35,"<span>...UK’s initial vaccination campaign. But the UK is favouring the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine for its booster rollout, leaving AstraZeneca to focus on commercialising it...</span>"
313,Pascal Soriot links AstraZeneca jab to low UK hospitalisations,2021-11-23 17:40:53,"<span>...was really more effective than another,” Turtle said. Alternative jabs produced by <mark class=""search-item__highlight"">Pfizer</mark> and Moderna are made using a newer technology called messenger RNA.

Eleanor...</span>"
312,EU loosens defence of pharma groups on Covid vaccine patents,2021-11-24 00:11:20,"<span>...so domestic producers could replicate products from the likes of AstraZeneca and <mark class=""search-item__highlight"">Pfizer</mark> without paying them royalties.

Dombrovskis offered a targeted waiver on compulsory licences...</span>"
473,EU softens line on opening up Covid-19 vaccine patents,2021-11-24 00:29:35,"<span>...so domestic producers could replicate products from the likes of AstraZeneca and <mark class=""search-item__highlight"">Pfizer</mark> without paying them royalties.

Dombrovskis offered a targeted waiver on compulsory licences...</span>"
472,UK boosted by third-jab success as infections surge in much of Europe  ,2021-11-24 05:00:33,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
471,Elizabeth Holmes trial: Theranos founder confronts accusations,2021-11-24 12:01:39,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
469,Jamie Dimon gets schooled in Chinese diplomacy,2021-11-25 05:00:21,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
468,EU regulator gives green light for Pfizer shot to children as young as 5,2021-11-25 12:22:03,"<span>EU regulator gives green light for <mark class=""search-item__highlight"">Pfizer</mark> shot to children as young as 5</span>"
467,BioNTech will take two weeks to assess vaccine against latest Covid variant,2021-11-26 12:24:55,"<span>...BioNTech will know in two weeks whether the vaccine it developed with <mark class=""search-item__highlight"">Pfizer</mark> will work against the new B.1.1.529 variant of Covid...</span>"
466,Israel blocks nearly all Africa travel and enforces quarantine rules,2021-11-26 14:30:52,"<span>...national emergency”, despite its campaign to administer third jabs of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine, and vaccines for children over 5 that started this week.

“We...</span>"
465,US stocks slide as concerns over new coronavirus variant spook investors,2021-11-26 14:44:44,"<span>...companies rallied in US trading, with Moderna jumping 16 per cent and <mark class=""search-item__highlight"">Pfizer</mark> gaining 6 per cent. Lab test provider Quest Diagnostics, meanwhile, gained 4...</span>"
464,Coronavirus: new variant cools inflation embers,2021-11-26 15:25:01,"<span class=""o-teaser__tag-prefix"">Lex</span>"
463,US pharma shares up but travel and entertainment stocks lose,2021-11-26 15:33:25,"<span>...Petroleum losing 11 per cent.

Shares in vaccine makers Moderna, BioNTech and <mark class=""search-item__highlight"">Pfizer</mark>, however, were among the few stocks to rise as investors assessed the...</span>"
462,Pandemic focus swings from Europe to southern Africa,2021-11-26 18:15:36,"<span>...BioNTech will know in two weeks whether the vaccine it developed with <mark class=""search-item__highlight"">Pfizer</mark> will work against the new B.1.1.529 variant, writes Hannah...</span>"
461,Stocks slide most in a year on concern over new virus variant,2021-11-26 18:52:43,"<span>...margins.

Coronavirus vaccine makers rallied, with Moderna soaring 21 per cent and <mark class=""search-item__highlight"">Pfizer</mark> gaining 6 per cent. Other pandemic beneficiaries such as meal-kit company...</span>"
460,Drugmakers race to test vaccines against new coronavirus variant,2021-11-26 19:05:36,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
458,Europe dashes for booster jabs amid surge in Covid cases,2021-11-28 13:00:07,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
457,Global leaders set to discuss pandemic treaty,2021-11-29 04:00:39,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
456,UAE begins booster campaign amid Omicron concerns,2021-11-29 07:08:49,"<span>...The United Arab Emirates has started a vaccination booster campaign for all adults who took the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> or Sputnik jabs more than six months...</span>"
455,J&J starts work on vaccine targeting Omicron coronavirus variant,2021-11-29 13:54:42,"<span>...we will work together to generate new data on Omicron,” he said.

<mark class=""search-item__highlight"">Pfizer</mark> is another one of the many vaccine makers that have begun working...</span>"
454,Omicron vaccines: booster shots will boost the mRNA pioneers,2021-11-29 14:32:39,"<span class=""o-teaser__tag-prefix"">Lex</span>"
453,UK advised to cut gap before booster and expand rollout to all adults,2021-11-29 15:06:37,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
452,Biden rules out using lockdowns to tackle Omicron threat,2021-11-29 18:48:22,"<span>...But Biden said the White House was “already working with officials at <mark class=""search-item__highlight"">Pfizer</mark>, Moderna and Johnson &amp; Johnson to develop contingency plans for vaccines or boosters...</span>"
451,UK to expand Covid booster jab campaign to all adults,2021-11-29 19:32:58,"<span>...month wait, while US and EU citizens who received either a BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> or a Moderna shot are advised to wait six months.

John Roberts...</span>"
450,CDC says all US adults should get Covid booster in expansion of recommendation,2021-11-29 22:36:55,"<span>...they are six months after the completion of their initial Moderna or <mark class=""search-item__highlight"">Pfizer</mark>-BioNTech regimes or two months after a Johnson &amp; Johnson vaccine.

“The recent...</span>"
449,CDC expands guidelines to urge all US adults to get Covid-19 booster jab,2021-11-29 23:10:23,"<span>...shot” six months after the completion of their initial Moderna or BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> doses or two months after a Johnson &amp; Johnson jab.

“The recent emergence...</span>"
686,Elizabeth Holmes defends response to Theranos reporting,2021-12-01 00:50:38,"<span>...Theranos sent to investors and business partners that included the logos of <mark class=""search-item__highlight"">Pfizer</mark> and other large pharmaceutical companies.

In previous testimony, Holmes admitted she personally...</span>"
685,Will Covid vaccines have to be updated for Omicron?,2021-12-01 05:00:45,"<span class=""o-teaser__tag-prefix"">Explainer</span>"
360,"Rich countries must divert Covid jabs to developing world, says Covax executive",2021-12-01 05:00:45,"<span>...much less effective, although other manufacturers such as Oxford/AstraZeneca and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> have been more optimistic.

With Moderna and <mark class=""search-item__highlight"">Pfizer</mark> working on new vaccines...</span>"
361,Private equity digs miner’s balance sheet,2021-12-01 05:00:45,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
359,Uncertainty about Omicron does not excuse inaction,2021-12-01 17:50:41,"<span>...this variant”. An Israeli television channel broadcast unverified claims yesterday that the <mark class=""search-item__highlight"">Pfizer</mark> vaccine was still highly effective at stopping infection with the Omicron variant...</span>"
358,OECD warns Omicron could ‘delay return to normality’,2021-12-01 18:15:48,"<span>...the country has not faced high energy costs. Need to know: business

<mark class=""search-item__highlight"">Pfizer</mark> now dominates the market for Covid vaccines but does that give the...</span>"
